,Summary,Season,Wedding_destination,Guest,Location,Describing_words,Priority_1,Priority_2,Priority_3,Estimate,Attire_Accessories,Beauty_spa,Entertainment,Flowers_Decorations,Gifts,invitations,Photography,Planner,venue_Catering_rental
0,"How much does a summer wedding in Camarillo CA with 150 to 200 guests cost? The wedding is at a garden or park. The type of wedding is Garden, Rustic, Modern. The wedding color theme is Pinks. The estimated cost for this wedding is $42,704.","
            
                Summer Wedding
                
                
            
        ","
        
            Camarillo CA
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $244 to the total amount spent.
                    
                    
                
        

        ","
                
                a garden or park
            ","
    	    
            
            
                Pinks
            
        ",,,,"
$42,704 is the Estimated Wedding Cost
","$2,294",$630,$346,"$1,652","$8,530","$13,227",$877,"$1,275","$1,320"
1,"How much does a spring wedding in Mobile AL with 150 to 200 guests cost? The type of wedding is Garden, Unique, Modern. The wedding color theme is Other. The estimated cost for this wedding is $42,485.","
            
                Spring Wedding
                
                
            
        ","
        
            Mobile AL
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $243 to the total amount spent.
                    
                    
                
        

        ","
    	    
            
            
                Other
            
        ",,,,,"
$42,485 is the Estimated Wedding Cost
","$2,005",$642,$214,$240,"$1,338","$9,020","$2,308","$2,719","$1,012"
2,"How much does a spring wedding with 50 to 100 guests cost? The wedding is at a garden or park. The type of wedding is Casual, Traditional, Intimate. The wedding color theme is Blues. The estimated cost for this wedding is $19,632.","
            
                Spring Wedding
                
                
            
        ","
        
            None specified
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $262 to the total amount spent.
                    
                    
                
        

        ","
                
                a garden or park
            ","
    	    
            
            
                Blues
            
        ",,,,"
$19,632 is the Estimated Wedding Cost
","$3,230",$234,$312,$320,"$1,085","$2,650",$809,"$2,021",$194
3,"How much does a fall wedding in Dayton OH with 25 to 50 guests cost? The ceremony is at a church or other place of worship and reception is at a restaurant. The type of wedding is Romantic, Vintage, Intimate. The wedding color theme is Pinks. The estimated cost for this wedding is $11,363.","
            
                Fall Wedding
                
                
            
        ","
        
            Dayton OH
            
            
        
    ","
        
        
            
                    This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $299 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Romantic, Vintage, Intimate 
            
        ","Attire & Accessories (Wedding Dress, Suit, etc.)","Event Food Service, Catering, Bar Service",Photography & Video,"
$11,363 is the Estimated Wedding Cost
","$2,082",$58,$253,"$1,204",$604,$95,"$3,534",$445,"$2,950"
4,"How much does a spring wedding in Gloucester MA with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Garden, Rustic, Farm/Barn. The wedding color theme is Purples. The estimated cost for this wedding is $35,786.","
            
                Spring Wedding
                
                
            
        ","
        
            Gloucester MA
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $286 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Purples
            
        ",,,,"
$35,786 is the Estimated Wedding Cost
","$3,407",$428,$196,$325,"$4,902","$10,597","$3,224",$544,$306
5,"How much does a spring wedding in newf with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Garden, Rustic, Farm/Barn. The wedding color theme is Purples. The estimated cost for this wedding is $45,527.","
            
                Spring Wedding
                
                
            
        ","
        
            newf
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $364 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Purples
            
        ",,,,"
$45,527 is the Estimated Wedding Cost
","$3,407",$428,$301,$325,"$7,111","$7,427","$1,522","$3,224",$544
6,"How much does a spring wedding in Brattleboro VT with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Garden, Rustic, Farm/Barn. The wedding color theme is Purples. The estimated cost for this wedding is $47,946.","
            
                Spring Wedding
                
                
            
        ","
        
            Brattleboro VT
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $384 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Purples
            
        ",,,,"
$47,946 is the Estimated Wedding Cost
","$3,407",$870,$253,$288,"$5,672","$13,721","$3,126","$3,486",$750
7,"How much does a winter wedding in Greenville NC with 50 to 100 guests cost? The wedding is at an event facility. The type of wedding is Fun, Rustic, Vintage. The wedding color theme is Reds. The estimated cost for this wedding is $13,499.","
            
                Winter Wedding
                
                
            
        ","
        
            Greenville NC
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $180 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Reds
            
        ",,,,"
$13,499 is the Estimated Wedding Cost
","$2,017",$274,$216,"$2,704","$3,838","$1,740",$227,"$2,130",
8,"How much does a fall wedding in Flagstaff AZ with 50 to 100 guests cost? The wedding is at a church or other place of worship. The type of wedding is Rustic, Traditional, Vintage. The wedding color theme is Other. The estimated cost for this wedding is $15,190.","
            
                Fall Wedding
                
                
            
        ","
        
            Flagstaff AZ
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $203 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Other
            
        ",,,,"
$15,190 is the Estimated Wedding Cost
","$2,298",$286,$155,$265,"$2,619","$4,421","$1,746",$321,$221
9,"How much does a fall wedding in Pittsburgh PA with 150 to 200 guests cost? The ceremony is at a church or other place of worship and reception is at an event facility. The type of wedding is Elegant, Formal, Traditional. The wedding color theme is Black. The estimated cost for this wedding is $46,070.","
            
                Fall Wedding
                
                
            
        ","
        
            Pittsburgh PA
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $263 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Elegant, Formal, Traditional 
            
        ",Event Location/Venue,Flowers & Decorations,Photography & Video,"
$46,070 is the Estimated Wedding Cost
","$3,001",$779,$215,$288,"$1,065","$10,949","$2,801","$3,214",$986
10,"How much does a spring wedding in Encinitas CA with 50 to 100 guests cost? The wedding is at an event facility. The type of wedding is Elegant, Unique, Intimate. The wedding color theme is Other. The estimated cost for this wedding is $32,075.","
            
                Spring Wedding
                
                
            
        ","
        
            Encinitas CA
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $428 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Other
            
        ",,,,"
$32,075 is the Estimated Wedding Cost
","$2,315",$284,$243,"$1,283","$4,706","$7,469","$1,126",$238,$325
