,url
0,https://cost.wedding.report/index.cfm/action/costest.step3/budgetid/AD7FE711-0AAE-4D43-95520FACA68887C3
1,https://cost.wedding.report/index.cfm/action/costest.step3/budgetid/2D65C050-54B3-4060-A3789CAE5059F4D8
2,https://cost.wedding.report/index.cfm/action/costest.step3/budgetid/5CD23CC5-A4DF-4F0A-87BCF5698EEAF1F1
3,https://cost.wedding.report/index.cfm/action/costest.step3/budgetid/C56B4878-6638-4955-BB65030D12183FCA
4,https://cost.wedding.report/index.cfm/action/costest.step3/budgetid/850F19C3-ECCB-495B-B2A8224201D8652C
5,https://cost.wedding.report/index.cfm/action/costest.step3/budgetid/66DBABE1-C67F-432F-826AE47C631E01D2
6,https://cost.wedding.report/index.cfm/action/costest.step3/budgetid/B1498531-84F3-490E-9D5405142B1E87D4
7,https://cost.wedding.report/index.cfm/action/costest.step3/budgetid/D3D3AD0C-8674-4FDB-89BF4A8707AC05EB
8,https://cost.wedding.report/index.cfm/action/costest.step3/budgetid/78ED6844-A6F9-46BB-819951264D6BF19A
9,https://cost.wedding.report/index.cfm/action/costest.step3/budgetid/E6094CA6-C55D-4E7D-A4731478B1B52FF5
10,https://cost.wedding.report/index.cfm/action/costest.step3/budgetid/B3CE4647-618E-4A0B-934109B7F80DFA3C
11,https://cost.wedding.report/index.cfm/action/costest.step3/budgetid/31BB6557-907B-485C-B2B51DC0B4B5F871
12,https://cost.wedding.report/index.cfm/action/costest.step3/budgetid/05D3EBF7-0E5F-46E7-BFBF54ECC3F155BF
13,https://cost.wedding.report/index.cfm/action/costest.step3/budgetid/C8A3C3FB-9822-44BC-B8D91E8EE2FF5610
14,https://cost.wedding.report/index.cfm/action/costest.step3/budgetid/A9A78496-847E-49F4-9B7E60FA56BE5DE9
15,https://cost.wedding.report/index.cfm/action/costest.step3/budgetid/97DE94EE-121F-437B-A51D4BEFD3630EE0
16,https://cost.wedding.report/index.cfm/action/costest.step3/budgetid/E0B87B08-91E0-447A-8639288B57966C38
17,https://cost.wedding.report/index.cfm/action/costest.step3/budgetid/FE196564-73A4-469C-9D17756C85B4E853
18,https://cost.wedding.report/index.cfm/action/costest.step3/budgetid/66A58F07-675B-43E6-AA16A0E3E2A466FC
19,https://cost.wedding.report/index.cfm/action/costest.step3/budgetid/789BC4B6-AC25-467F-A23EA15F8003250A
20,https://cost.wedding.report/index.cfm/action/costest.step3/budgetid/6CC381E1-F828-4E4F-84276167DABB7A50
